"","occupation","y1619","y2024","y2534","y3544","y4554","y5564","y65plus","medianage","totalemp","womenpct","whitepct","blackpct","asianpct","hispanicpct","totalempfull","medianwagefull","soccode","soctitle","isco","iscotitle","Title","description_1d","description_4d","mean_score","mean_exposure_level","SD","potential","plus55pct","mean_score100","highexposure"
"183","Secondary school teachers",1,44,197,235,240,116,55,43.3,887,60.5,86.2,7.9,3.4,9.1,824,1365,NA,NA,2330,NA,"Secondary Education Teachers","Professionals","Secondary education teachers",0.33,"Low",0.18,"Augmentation potential",19.2567567567568,33,0
"184","Special education teachers",0,18,57,78,88,63,14,45.4,318,85.7,85.1,9.2,1.2,11.6,273,1170,NA,NA,2352,NA,"Special Needs Teachers","Professionals","Special needs teachers",0.33,"Low",0.16,"Other occupations",24.2138364779874,33,0
"185","Tutors",19,59,31,19,12,19,14,27.8,173,66.6,71.4,9.6,12.8,12.4,30,NA,NA,NA,2353,NA,"Other Language Teachers","Professionals","Other language teachers",0.54,"Medium",0.12,"Other occupations",19.0751445086705,54,1
"186","Other teachers and instructors",33,80,212,203,196,141,100,42.9,965,63.2,76.5,12.4,6.3,13.1,553,1157,NA,NA,2359,NA,"Teaching Professionals Not Elsewhere Classified","Professionals","Teaching professionals not elsewhere classified",0.41,"Low",0.17,"Other occupations",24.9740932642487,41,0
"187","Archivists, curators, and museum technicians",0,5,16,22,15,8,11,43.2,77,55.6,90.2,5.7,2.3,8.8,55,1293,NA,NA,2621,NA,"Archivists and Curators","Professionals","Archivists and curators",0.44,"Low",0.16,"Other occupations",24.6753246753247,44,0
"188","Librarians and media collections specialists",2,14,27,38,37,45,16,47.3,180,89.2,84.2,6.7,4,13.1,145,1109,NA,NA,2622,NA,"Librarians and Related Information Professionals","Professionals","Librarians and related information professionals",0.65,"Medium",0.09,"Automation potential",34.0782122905028,65,1
"189","Library technicians",2,2,9,6,4,3,5,NA,32,NA,NA,NA,NA,NA,17,NA,"25-4031","Library Technicians",3433,"Gallery, museum and library technicians","Gallery, Museum and Library Technicians","Technicians and associate professionals","Gallery, museum and library technicians",0.44,"Low",0.3,"Other occupations",25.8064516129032,44,0
"190","Library technicians",2,2,9,6,4,3,5,NA,32,NA,NA,NA,NA,NA,17,NA,"25-4031","Library Technicians",4411,"Library clerks","Library Clerks","Clerical support workers","Library clerks",0.4,"Low",0.3,"Other occupations",25.8064516129032,40,0
"191","Teaching assistants",57,236,370,265,229,201,79,37.7,1436,81.2,71.9,12.5,10,18.4,893,725,NA,NA,5312,NA,"Teachers' Aides","Service and sales workers","Teachers' aides",0.36,"Low",0.21,"Augmentation potential",19.4850382741823,36,0
"192","Other educational instruction and library workers",4,14,33,40,46,35,19,46,190,79,71.1,15,6.3,12.6,141,1261,NA,NA,2359,NA,"Teaching Professionals Not Elsewhere Classified","Professionals","Teaching professionals not elsewhere classified",0.41,"Low",0.17,"Other occupations",28.2722513089005,41,0
"193","Artists and related workers",6,12,79,86,62,39,33,42.6,318,53.8,78.9,10.3,6,14.3,91,1483,NA,NA,2651,NA,"Visual Artists","Professionals","Visual artists",0.24,"Very low",0.09,"Other occupations",22.7129337539432,24,0
"194","Commercial and industrial designers",0,3,4,3,1,3,2,NA,16,NA,NA,NA,NA,NA,11,NA,"27-1021","Commercial and Industrial Designers",2163,"Product and garment designers","Product and Garment Designers","Professionals","Product and garment designers",0.38,"Low",0.14,"Augmentation potential",31.25,38,0
"195","Fashion designers",5,2,9,13,6,2,2,NA,38,NA,NA,NA,NA,NA,26,NA,"27-1022","Fashion Designers",2163,"Product and garment designers","Product and Garment Designers","Professionals","Product and garment designers",0.38,"Low",0.14,"Augmentation potential",10.2564102564103,38,0
"196","Floral designers",6,9,8,6,8,6,2,NA,45,NA,NA,NA,NA,NA,18,NA,"27-1023","Floral Designers",7549,"Craft and related workers not elsewhere classified","Craft and Related Workers not Elsewhere Classified","Craft and related trades workers","Craft and related workers not elsewhere classified",0.08,"Very low",0.04,"Other occupations",17.7777777777778,8,0
"197","Graphic designers",1,18,92,74,59,38,12,41,294,59.1,83.1,5.5,8.4,12.1,192,1305,"27-1024","Graphic Designers",2166,"Graphic and multimedia designers","Graphic and Multimedia Designers","Professionals","Graphic and multimedia designers",0.42,"Low",0.17,"Other occupations",17.0068027210884,42,0
"198","Interior designers",0,12,27,28,20,17,13,42.2,117,81.9,88.5,3.9,3.6,13.6,64,1224,"27-1025","Interior Designers",3432,"Interior designers and decorators","Interior Designers and Decorators","Technicians and associate professionals","Interior designers and decorators",0.38,"Low",0.16,"Augmentation potential",25.6410256410256,38,0
"199","Merchandise displayers and window trimmers",0,0,16,6,6,8,4,NA,40,NA,NA,NA,NA,NA,37,NA,"27-1026","Merchandise Displayers and Window Trimmers",3432,"Interior designers and decorators","Interior Designers and Decorators","Technicians and associate professionals","Interior designers and decorators",0.38,"Low",0.16,"Augmentation potential",30,38,0
"200","Other designers",4,25,110,118,77,58,27,41.7,419,45,77.5,6.7,11.7,11.3,303,1568,NA,NA,2163,NA,"Product and Garment Designers","Professionals","Product and garment designers",0.38,"Low",0.14,"Augmentation potential",20.2863961813842,38,0
"201","Actors",1,11,14,12,8,6,5,38.3,57,62,77.6,19.6,1.4,14.7,20,NA,"27-2011","Actors",2655,"Actors","Actors","Professionals","Actors",0.31,"Low",0.34,"Augmentation potential",19.2982456140351,31,0
"202","Producers and directors",0,9,51,46,32,29,8,41.8,175,39.7,81.1,12.5,3.2,11.3,129,1760,"27-2012","Producers and Directors",2654,"Film, stage and related directors and producers","Film, Stage and Related Directors and Producers","Professionals","Film, stage and related directors and producers",0.26,"Low",0.22,"Other occupations",21.1428571428571,26,0
"203","Athletes and sports competitors",0,2,11,5,3,3,0,NA,23,NA,NA,NA,NA,NA,12,NA,"27-2021","Athletes and Sports Competitors",3421,"Athletes and sports players","Athletes and Sports Players","Technicians and associate professionals","Athletes and sports players",0.26,"Low",0.21,"Other occupations",12.5,26,0
"204","Coaches and scouts",60,50,63,65,46,35,22,34.5,340,48.5,76.8,13.7,3.7,13.3,122,1039,"27-2022","Coaches and Scouts",3422,"Sports coaches, instructors and officials","Sports Coaches, Instructors and Officials","Technicians and associate professionals","Sports coaches, instructors and officials",0.36,"Low",0.17,"Augmentation potential",16.7155425219941,36,0
"205","Umpires, referees, and other sports officials",15,7,4,1,0,2,4,NA,33,NA,NA,NA,NA,NA,4,NA,"27-2023","Umpires, Referees, and Other Sports Officials",3422,"Sports coaches, instructors and officials","Sports Coaches, Instructors and Officials","Technicians and associate professionals","Sports coaches, instructors and officials",0.36,"Low",0.17,"Augmentation potential",18.1818181818182,36,0
"206","Dancers and choreographers",1,3,8,1,1,1,1,NA,17,NA,NA,NA,NA,NA,5,NA,NA,NA,2653,NA,"Dancers and Choreographers","Professionals","Dancers and choreographers",0.15,"Very low",0.08,"Other occupations",12.5,15,0
"207","Music directors and composers",0,4,15,12,5,5,5,NA,47,NA,NA,NA,NA,NA,16,NA,"27-2041","Music Directors and Composers",2652,"Musicians, singers and composers","Musicians, Singers and Composers","Professionals","Musicians, singers and composers",0.38,"Low",0.3,"Augmentation potential",21.7391304347826,38,0
"208","Musicians and singers",4,10,33,35,26,22,39,46.3,168,29,81.3,7.6,3.5,6.3,20,NA,"27-2042","Musicians and Singers",2652,"Musicians, singers and composers","Musicians, Singers and Composers","Professionals","Musicians, singers and composers",0.38,"Low",0.3,"Augmentation potential",36.094674556213,38,0
"209","Disc jockeys, except radio",0,1,6,12,1,3,1,NA,24,NA,NA,NA,NA,NA,10,NA,NA,NA,2659,NA,"Creative and Performing Artists Not Elsewhere Classified","Professionals","Creative and performing artists not elsewhere classified",0.2,"Very low",0.2,"Other occupations",16.6666666666667,20,0
"210","Entertainers and performers, sports and related workers, all other",2,7,11,10,4,2,2,NA,38,NA,NA,NA,NA,NA,13,NA,"27-2099","Entertainers and Performers, Sports and Related Workers, All Other",2659,"Creative and performing artists not elsewhere classified","Creative and Performing Artists Not Elsewhere Classified","Professionals","Creative and performing artists not elsewhere classified",0.2,"Very low",0.2,"Other occupations",10.5263157894737,20,0
"211","Entertainers and performers, sports and related workers, all other",2,7,11,10,4,2,2,NA,38,NA,NA,NA,NA,NA,13,NA,"27-2099","Entertainers and Performers, Sports and Related Workers, All Other",3435,"Other artistic and cultural associate professionals","Other Artistic and Cultural Associate Professionals","Technicians and associate professionals","Other artistic and cultural associate professionals",NA,NA,NA,"Other occupations",10.5263157894737,NA,0
"212","Entertainers and performers, sports and related workers, all other",2,7,11,10,4,2,2,NA,38,NA,NA,NA,NA,NA,13,NA,"27-2099","Entertainers and Performers, Sports and Related Workers, All Other",5161,"Astrologers, fortune-tellers and related workers","Astrologers, Fortune-tellers and Related Workers","Service and sales workers","Astrologers, fortune-tellers and related workers",0.53,"Medium",0.19,"Other occupations",10.5263157894737,53,1
"213","Broadcast announcers and radio disc jockeys",0,0,3,3,7,4,2,NA,20,NA,NA,NA,NA,NA,19,NA,NA,NA,2656,NA,"Announcers on Radio, Television and Other Media","Professionals","Announcers on radio, television and other media",0.55,"Medium",0.14,"Other occupations",31.5789473684211,55,1
"214","News analysts, reporters, and journalists",0,5,18,21,14,6,10,41.4,73,48,62.6,16.3,17.9,10,58,1420,NA,NA,2642,NA,"Journalists","Professionals","Journalists",0.55,"Medium",0.19,"Other occupations",21.6216216216216,55,1
"215","Public relations specialists",0,7,42,29,19,9,8,37.5,114,67.8,73.4,14.2,5,12.7,96,1878,"27-3031","Public Relations Specialists",2432,"Public relations professionals","Public Relations Professionals","Professionals","Public relations professionals",0.38,"Low",0.1,"Other occupations",14.9122807017544,38,0
"216","Editors",0,12,21,21,44,22,12,46.7,132,72.6,84.2,8.9,5.9,8.5,87,1347,"27-3041","Editors",2641,"Authors and related writers","Authors and Related Writers","Professionals","Authors and related writers",0.68,"Medium",0.08,"Automation potential",25.7575757575758,68,1
"217","Editors",0,12,21,21,44,22,12,46.7,132,72.6,84.2,8.9,5.9,8.5,87,1347,"27-3041","Editors",2642,"Journalists","Journalists","Professionals","Journalists",0.55,"Medium",0.19,"Other occupations",25.7575757575758,55,1
"218","Technical writers",0,1,10,15,12,20,5,48.3,63,59.8,78.9,9.1,6.1,8.3,59,1643,"27-3042","Technical Writers",2641,"Authors and related writers","Authors and Related Writers","Professionals","Authors and related writers",0.68,"Medium",0.08,"Automation potential",39.6825396825397,68,1
"219","Writers and authors",2,13,59,53,51,39,39,44.8,257,64.7,85.6,7.3,5.1,4.8,113,1618,"27-3043","Writers and Authors",2641,"Authors and related writers","Authors and Related Writers","Professionals","Authors and related writers",0.68,"Medium",0.08,"Automation potential",30.46875,68,1
"220","Writers and authors",2,13,59,53,51,39,39,44.8,257,64.7,85.6,7.3,5.1,4.8,113,1618,"27-3043","Writers and Authors",2431,"Advertising and marketing professionals","Advertising and Marketing Professionals","Professionals","Advertising and marketing professionals",0.51,"Medium",0.15,"Other occupations",30.46875,51,1
"221","Interpreters and translators",1,5,14,21,23,19,10,46.9,92,74.8,82.5,2.4,14.1,44.8,49,NA,"27-3091","Interpreters and Translators",2643,"Translators, interpreters and other linguists","Translators, Interpreters and Other Linguists","Professionals","Translators, interpreters and other linguists",0.59,"Medium",0.22,"Other occupations",31.1827956989247,59,1
"222","Court reporters and simultaneous captioners",0,1,6,5,3,6,3,NA,24,NA,NA,NA,NA,NA,22,NA,NA,NA,3343,NA,"Administrative and Executive Secretaries","Technicians and associate professionals","Administrative and executive secretaries",0.58,"Medium",0.25,"Other occupations",37.5,58,1
"223","Media and communication workers, all other",1,3,11,13,4,5,1,NA,38,NA,NA,NA,NA,NA,22,NA,"27-3099","Media and Communication Workers, All Other",3435,"Other artistic and cultural associate professionals","Other Artistic and Cultural Associate Professionals","Technicians and associate professionals","Other artistic and cultural associate professionals",NA,NA,NA,"Other occupations",15.7894736842105,NA,0
"224","Broadcast, sound, and lighting technicians",0,15,26,38,26,11,2,40,117,9.2,79.8,11.5,2.8,18.1,78,1507,NA,NA,3521,NA,"Broadcasting and Audio-visual Technicians","Technicians and associate professionals","Broadcasting and audio-visual technicians",0.36,"Low",0.19,"Augmentation potential",11.0169491525424,36,0
"225","Photographers",1,16,63,43,47,26,13,41.4,210,43.5,84.6,3.9,5.2,13.1,65,1255,"27-4021","Photographers",3431,"Photographers","Photographers","Technicians and associate professionals","Photographers",0.35,"Low",0.24,"Augmentation potential",18.6602870813397,35,0
"226","Television, video, and film camera operators and editors",3,10,50,35,17,13,5,36.5,133,26.1,71.4,11.5,10.3,11.8,65,1728,NA,NA,3521,NA,"Broadcasting and Audio-visual Technicians","Technicians and associate professionals","Broadcasting and audio-visual technicians",0.36,"Low",0.19,"Augmentation potential",13.5338345864662,36,0
"227","Media and communication equipment workers, all other",0,0,1,0,0,1,0,NA,2,NA,NA,NA,NA,NA,1,NA,"27-4099","Media and Communication Equipment Workers, All Other",3435,"Other artistic and cultural associate professionals","Other Artistic and Cultural Associate Professionals","Technicians and associate professionals","Other artistic and cultural associate professionals",NA,NA,NA,"Other occupations",50,NA,0
"228","Media and communication equipment workers, all other",0,0,1,0,0,1,0,NA,2,NA,NA,NA,NA,NA,1,NA,"27-4099","Media and Communication Equipment Workers, All Other",3521,"Broadcasting and audio-visual technicians","Broadcasting and Audio-visual Technicians","Technicians and associate professionals","Broadcasting and audio-visual technicians",0.36,"Low",0.19,"Augmentation potential",50,36,0
"229","Chiropractors",0,0,6,15,13,11,10,49.1,55,31.2,88.5,1.8,6.8,1.8,18,NA,"29-1011","Chiropractors",2269,"Health professionals not elsewhere classified","Health Professionals Not Elsewhere Classified","Professionals","Health professionals not elsewhere classified",0.16,"Very low",0.11,"Other occupations",38.1818181818182,16,0
"230","Dentists",0,0,19,57,41,35,17,47.2,169,38.8,77.6,4.7,14.4,15.4,70,2281,NA,NA,2261,NA,"Dentists","Professionals","Dentists",0.21,"Very low",0.13,"Other occupations",30.7692307692308,21,0
"231","Dietitians and nutritionists",0,6,34,29,42,21,9,44.5,142,92.1,76.3,14.8,2.5,13.7,86,1350,"29-1031","Dietitians and Nutritionists",2265,"Dieticians and nutritionists","Dieticians and Nutritionists","Professionals","Dieticians and nutritionists",0.39,"Low",0.18,"Augmentation potential",21.2765957446809,39,0
"232","Optometrists",0,0,6,6,7,9,8,NA,36,NA,NA,NA,NA,NA,7,NA,"29-1041","Optometrists",2267,"Optometrists and ophthalmic opticians","Optometrists and Ophthalmic Opticians","Professionals","Optometrists and ophthalmic opticians",0.16,"Very low",0.09,"Other occupations",47.2222222222222,16,0
"233","Pharmacists",0,14,96,99,54,38,24,41.3,326,59.7,70.1,7.5,21,5.1,258,2477,"29-1051","Pharmacists",2262,"Pharmacists","Pharmacists","Professionals","Pharmacists",0.33,"Low",0.22,"Augmentation potential",19.0769230769231,33,0
"234","Emergency medicine physicians",0,0,7,4,7,3,0,NA,20,NA,NA,NA,NA,NA,18,NA,NA,NA,2211,NA,"Generalist Medical Practitioners","Professionals","Generalist medical practitioners",0.31,"Low",0.15,"Other occupations",14.2857142857143,31,0
"235","Radiologists",0,0,5,5,5,4,8,NA,26,NA,NA,NA,NA,NA,19,NA,NA,NA,2269,NA,"Health Professionals Not Elsewhere Classified","Professionals","Health professionals not elsewhere classified",0.16,"Very low",0.11,"Other occupations",44.4444444444444,16,0
"236","Other physicians",0,3,196,253,188,147,116,45.6,904,44.5,67.5,7.3,23.2,6.5,724,3429,NA,NA,2212,NA,"Specialist Medical Practitioners","Professionals","Specialist medical practitioners",0.29,"Low",0.24,"Augmentation potential",29.125138427464,29,0
"237","Surgeons",0,0,7,14,12,4,4,NA,41,NA,NA,NA,NA,NA,35,NA,"29-1067","Surgeons",2212,"Specialist medical practitioners","Specialist Medical Practitioners","Professionals","Specialist medical practitioners",0.29,"Low",0.24,"Augmentation potential",19.5121951219512,29,0
"238","Physician assistants",3,4,73,48,29,20,4,38.4,182,72.8,80.7,7.4,7.6,11.6,159,2333,"29-1071","Physician Assistants",2240,"Paramedical practitioners","Paramedical Practitioners","Professionals","Paramedical practitioners",0.23,"Very low",0.21,"Other occupations",13.2596685082873,23,0
"239","Podiatrists",0,0,2,2,0,2,2,NA,8,NA,NA,NA,NA,NA,4,NA,"29-1081","Podiatrists",2269,"Health professionals not elsewhere classified","Health Professionals Not Elsewhere Classified","Professionals","Health professionals not elsewhere classified",0.16,"Very low",0.11,"Other occupations",50,16,0
"240","Audiologists",0,1,10,6,9,4,1,NA,31,NA,NA,NA,NA,NA,23,NA,"29-1181","Audiologists",2266,"Audiologists and speech therapists","Audiologists and Speech Therapists","Professionals","Audiologists and speech therapists",0.2,"Very low",0.06,"Other occupations",16.1290322580645,20,0
"241","Occupational therapists",0,1,54,37,31,27,5,42.1,155,87.5,84.6,6.6,2.4,3.8,110,1633,"29-1122","Occupational Therapists",2269,"Health professionals not elsewhere classified","Health Professionals Not Elsewhere Classified","Professionals","Health professionals not elsewhere classified",0.16,"Very low",0.11,"Other occupations",20.6451612903226,16,0
"242","Physical therapists",1,13,101,78,69,44,14,42,320,63.8,81.1,3.7,11,4.6,217,1584,"29-1123","Physical Therapists",2264,"Physiotherapists","Physiotherapists","Professionals","Physiotherapists",0.17,"Very low",0.1,"Other occupations",18.125,17,0
"243","Radiation therapists",0,0,2,2,1,3,0,NA,8,NA,NA,NA,NA,NA,9,NA,"29-1124","Radiation Therapists",3211,"Medical imaging and therapeutic equipment technicians","Medical Imaging and Therapeutic Equipment Technicians","Technicians and associate professionals","Medical imaging and therapeutic equipment technicians",0.2,"Very low",0.11,"Other occupations",37.5,20,0
"244","Recreational therapists",0,4,1,3,0,1,0,NA,10,NA,NA,NA,NA,NA,6,NA,"29-1125","Recreational Therapists",2269,"Health professionals not elsewhere classified","Health Professionals Not Elsewhere Classified","Professionals","Health professionals not elsewhere classified",0.16,"Very low",0.11,"Other occupations",11.1111111111111,16,0
"245","Respiratory therapists",0,1,20,27,19,13,3,42,84,82.1,76.6,10.1,9.6,11.5,66,1420,"29-1126","Respiratory Therapists",3259,"Health associate professionals not elsewhere classified","Health Associate Professionals Not Elsewhere Classified","Technicians and associate professionals","Health associate professionals not elsewhere classified",0.26,"Low",0.17,"Other occupations",19.2771084337349,26,0
"246","Speech-language pathologists",0,12,67,69,40,18,6,39.9,212,95.4,90.1,5.9,2.5,8.9,156,1525,"29-1127","Speech-Language Pathologists",2266,"Audiologists and speech therapists","Audiologists and Speech Therapists","Professionals","Audiologists and speech therapists",0.2,"Very low",0.06,"Other occupations",11.3207547169811,20,0
"247","Exercise physiologists",0,0,3,2,0,0,0,NA,5,NA,NA,NA,NA,NA,3,NA,"29-1128","Exercise Physiologists",2264,"Physiotherapists","Physiotherapists","Professionals","Physiotherapists",0.17,"Very low",0.1,"Other occupations",0,17,0
"248","Therapists, all other",1,27,131,76,83,45,22,39.8,385,80.6,77.5,14.5,4.2,14.2,227,1265,"29-1129","Therapists, All Other",2269,"Health professionals not elsewhere classified","Health Professionals Not Elsewhere Classified","Professionals","Health professionals not elsewhere classified",0.16,"Very low",0.11,"Other occupations",17.4025974025974,16,0
"249","Veterinarians",0,1,20,42,20,11,5,42.8,98,68.6,92.6,1.2,3.6,8.5,67,2503,"29-1131","Veterinarians",2250,"Veterinarians","Veterinarians","Professionals","Veterinarians",0.18,"Very low",0.18,"Other occupations",16.1616161616162,18,0
"250","Registered nurses",3,171,967,934,718,581,197,42.3,3571,86.8,72,15.8,9.8,9.8,2895,1507,"29-1141","Registered Nurses",2221,"Nursing professionals","Nursing Professionals","Professionals","Nursing professionals",0.25,"Very low",0.15,"Other occupations",21.7866143937272,25,0
"251","Nurse anesthetists",0,0,5,11,9,3,3,NA,31,NA,NA,NA,NA,NA,19,NA,"29-1151","Nurse Anesthetists",2221,"Nursing professionals","Nursing Professionals","Professionals","Nursing professionals",0.25,"Very low",0.15,"Other occupations",19.3548387096774,25,0
"252","Nurse midwives",0,0,2,7,5,2,2,NA,18,NA,NA,NA,NA,NA,11,NA,"29-1161","Nurse Midwives",2222,"Midwifery professionals","Midwifery Professionals","Professionals","Midwifery professionals",0.25,"Very low",0.2,"Other occupations",22.2222222222222,25,0
"253","Nurse practitioners",0,1,59,101,74,35,17,43.1,288,88.1,78.1,11.7,9.5,6.8,225,2183,"29-1171","Nurse Practitioners",2221,"Nursing professionals","Nursing Professionals","Professionals","Nursing professionals",0.25,"Very low",0.15,"Other occupations",18.1184668989547,25,0
"254","Acupuncturists",0,0,0,5,9,4,3,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,2269,NA,"Health Professionals Not Elsewhere Classified","Professionals","Health professionals not elsewhere classified",0.16,"Very low",0.11,"Other occupations",33.3333333333333,16,0
"255","Healthcare diagnosing or treating practitioners, all other",0,1,2,4,4,4,1,NA,16,NA,NA,NA,NA,NA,6,NA,NA,NA,2230,NA,"Traditional and Complementary Medicine Professionals","Professionals","Traditional and complementary medicine professionals",0.36,"Low",0.24,"Augmentation potential",31.25,36,0
"256","Clinical laboratory technologists and technicians",4,37,98,68,55,60,17,40,338,72.4,70.8,12.9,13.3,18.4,287,1228,NA,NA,3212,NA,"Medical and Pathology Laboratory Technicians","Technicians and associate professionals","Medical and pathology laboratory technicians",0.3,"Low",0.21,"Augmentation potential",22.7138643067847,30,0
"257","Dental hygienists",4,5,49,64,38,45,8,42.6,214,93.9,83.7,6.4,8.1,11,107,1438,"29-2021","Dental Hygienists",3251,"Dental assistants and therapists","Dental Assistants and Therapists","Technicians and associate professionals","Dental assistants and therapists",0.16,"Very low",0.1,"Other occupations",24.8826291079812,16,0
"258","Cardiovascular technologists and technicians",0,2,15,15,18,8,3,41.9,61,63.4,73.4,12.8,8.7,15.9,55,1411,"29-2031","Cardiovascular Technologists and Technicians",3259,"Health associate professionals not elsewhere classified","Health Associate Professionals Not Elsewhere Classified","Technicians and associate professionals","Health associate professionals not elsewhere classified",0.26,"Low",0.17,"Other occupations",18.0327868852459,26,0
"259","Diagnostic medical sonographers",0,5,30,25,28,11,5,41.3,104,80.4,77.7,9,10.1,20.2,75,1558,"29-2032","Diagnostic Medical Sonographers",3211,"Medical imaging and therapeutic equipment technicians","Medical Imaging and Therapeutic Equipment Technicians","Technicians and associate professionals","Medical imaging and therapeutic equipment technicians",0.2,"Very low",0.11,"Other occupations",15.3846153846154,20,0
"260","Radiologic technologists and technicians",3,18,71,64,50,37,12,40.2,254,69.5,78.9,10.8,7.5,12.7,197,1318,NA,NA,3211,NA,"Medical Imaging and Therapeutic Equipment Technicians","Technicians and associate professionals","Medical imaging and therapeutic equipment technicians",0.2,"Very low",0.11,"Other occupations",19.2156862745098,20,0
"261","Magnetic resonance imaging technologists",0,1,12,13,13,14,2,45.6,55,67.4,83.6,3.7,10.9,14.9,32,NA,"29-2035","Magnetic Resonance Imaging Technologists",3211,"Medical imaging and therapeutic equipment technicians","Medical Imaging and Therapeutic Equipment Technicians","Technicians and associate professionals","Medical imaging and therapeutic equipment technicians",0.2,"Very low",0.11,"Other occupations",29.0909090909091,20,0
"262","Nuclear medicine technologists and medical dosimetrists",0,0,6,15,12,12,2,NA,48,NA,NA,NA,NA,NA,42,NA,NA,NA,3211,NA,"Medical Imaging and Therapeutic Equipment Technicians","Technicians and associate professionals","Medical imaging and therapeutic equipment technicians",0.2,"Very low",0.11,"Other occupations",29.7872340425532,20,0
"263","Emergency medical technicians",5,44,67,26,18,11,1,30.8,173,41,86.1,7.8,2.2,16.5,140,982,NA,NA,3258,NA,"Ambulance Workers","Technicians and associate professionals","Ambulance workers",0.14,"Very low",0.08,"Other occupations",6.97674418604651,14,0
"264","Paramedics",0,3,27,25,21,15,4,42.6,95,25.3,79.3,8.5,7.9,13.8,81,1548,NA,NA,3258,NA,"Ambulance Workers","Technicians and associate professionals","Ambulance workers",0.14,"Very low",0.08,"Other occupations",20,14,0
"265","Pharmacy technicians",10,65,105,78,58,25,13,35.7,354,78.9,65.3,18.4,12.6,16.2,253,888,"29-2052","Pharmacy Technicians",3213,"Pharmaceutical technicians and assistants","Pharmaceutical Technicians and Assistants","Technicians and associate professionals","Pharmaceutical technicians and assistants",0.38,"Low",0.22,"Augmentation potential",10.7344632768362,38,0
"266","Psychiatric technicians",4,29,45,29,16,7,6,33.6,138,73.7,59.1,31.2,3.1,17.5,95,768,"29-2053","Psychiatric Technicians",3259,"Health associate professionals not elsewhere classified","Health Associate Professionals Not Elsewhere Classified","Technicians and associate professionals","Health associate professionals not elsewhere classified",0.26,"Low",0.17,"Other occupations",9.55882352941176,26,0
"267","Surgical technologists",1,8,26,37,23,17,5,41.3,117,69.9,74,16.9,8.4,14.4,91,1224,"29-2055","Surgical Technologists",3259,"Health associate professionals not elsewhere classified","Health Associate Professionals Not Elsewhere Classified","Technicians and associate professionals","Health associate professionals not elsewhere classified",0.26,"Low",0.17,"Other occupations",18.8034188034188,26,0
"268","Veterinary technologists and technicians",6,33,60,25,9,12,0,30.2,145,86.2,87.5,4.7,3.8,12.1,110,824,"29-2056","Veterinary Technologists and Technicians",3240,"Veterinary technicians and assistants","Veterinary Technicians and Assistants","Technicians and associate professionals","Veterinary technicians and assistants",0.12,"Very low",0.06,"Other occupations",8.27586206896552,12,0
"269","Dietetic technicians and ophthalmic medical technicians",12,23,18,11,3,9,7,29.6,83,70.9,67.3,20.1,5.1,10.1,58,806,NA,NA,3259,NA,"Health Associate Professionals Not Elsewhere Classified","Technicians and associate professionals","Health associate professionals not elsewhere classified",0.26,"Low",0.17,"Other occupations",19.2771084337349,26,0
"270","Licensed practical and licensed vocational nurses",8,47,119,151,111,92,37,42.4,565,89.6,58.3,30.4,7.2,15.9,424,1021,"29-2061","Licensed Practical and Licensed Vocational Nurses",3221,"Nursing associate professionals","Nursing Associate Professionals","Technicians and associate professionals","Nursing associate professionals",0.25,"Very low",0.23,"Other occupations",22.8318584070796,25,0
"271","Medical records specialists",0,2,35,49,69,54,18,49.7,227,92,74.1,14.9,5,12.2,203,1053,NA,NA,3252,NA,"Medical Records and Health Information Technicians","Technicians and associate professionals","Medical records and health information technicians",0.48,"Low",0.14,"Other occupations",31.7180616740088,48,0
"272","Opticians, dispensing",0,2,13,10,12,10,2,NA,49,NA,NA,NA,NA,NA,36,NA,"29-2081","Opticians, Dispensing",3254,"Dispensing opticians","Dispensing Opticians","Technicians and associate professionals","Dispensing opticians",0.26,"Low",0.14,"Other occupations",24.4897959183673,26,0
"273","Miscellaneous health technologists and technicians",0,16,38,40,31,19,8,40.6,151,69.2,63.1,22.4,8.6,10.4,124,1162,NA,NA,3259,NA,"Health Associate Professionals Not Elsewhere Classified","Technicians and associate professionals","Health associate professionals not elsewhere classified",0.26,"Low",0.17,"Other occupations",17.7631578947368,26,0
"274","Home health aides",5,34,117,116,158,149,76,47.8,656,88.7,51.5,31.7,11.6,28.7,396,709,"31-1011","Home Health Aides",5322,"Home-based personal care workers","Home-based Personal Care Workers","Service and sales workers","Home-based personal care workers",0.31,"Low",0.18,"Other occupations",34.3511450381679,31,0
"275","Personal care aides",39,159,298,297,305,373,197,46.1,1667,81,58.7,28.5,7.5,22.1,1004,713,"39-9021","Personal Care Aides",5322,"Home-based personal care workers","Home-based Personal Care Workers","Service and sales workers","Home-based personal care workers",0.31,"Low",0.18,"Other occupations",34.1726618705036,31,0
"276","Personal care aides",39,159,298,297,305,373,197,46.1,1667,81,58.7,28.5,7.5,22.1,1004,713,"39-9021","Personal Care Aides",4414,"Scribes and related workers","Scribes and Related Workers","Clerical support workers","Scribes and related workers",0.72,"Medium",0.13,"Automation potential",34.1726618705036,72,1
"277","Personal care aides",39,159,298,297,305,373,197,46.1,1667,81,58.7,28.5,7.5,22.1,1004,713,"39-9021","Personal Care Aides",5162,"Companions and valets","Companions and Valets","Service and sales workers","Companions and valets",0.13,"Very low",0.06,"Other occupations",34.1726618705036,13,0
